guid,zip_code,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value
035406B5-4611-0ED3-03A0-2CA3C8DC2E9C,85001,15,5612,1283,101500,472,66900
B234961B-8B42-36E3-6936-6A68DC7A8DF6,85002,19,7650,1901,112900,463,80100
EF058365-0DE8-5B3B-722D-57A225ED203A,85003,17,720,174,33300,117,85700
F4086390-801A-0375-A478-85D623B464C9,85004,14,1501,337,51500,226,73400
4DECAE5F-3515-6AD7-2111-DEF23FC417F8,85005,20,1454,326,WDNG,262,65500
CA491A21-18F2-94C3-A5A7-34B2FD802089,85006,29,1387,SDNR,67100,239,74000
536DF252-6A7C-1192-38F8-2B0ADB8B0009,85007,25,2907,680,184100,633,82400
044C9219-57F8-0EAD-2F2C-9A5ABBDA29CD,WWMC,41,812,168,37500,158,48500
6F6DDBC4-410F-5B39-0970-E1896E950A28,85009,34,4789,1175,313400,1056,58400
2A5BDC3A-6CD9-560C-014B-0F98CA2B3BE6,85010,46,1497,309,78700,271,48100
5AEB58EA-80DD-17C0-42E4-4E7265D104D9,85011,16,3741,801,243400,824,86500
3D273B63-A3C6-02F1-4999-F1203D6B3A06,85012,21,1988,483,118200,437,62000
C4E2636B-52B4-15DC-0297-695FEE5416F8,85013,48,1291,248,58000,211,48600
CD1B2663-85A7-40AA-579D-E65B28565471,85014,31,2478,464,134600,479,70400
AA0862DF-7FE5-6C7D-9F5C-92EA5AF439A8,85015,15,1448,378,94900,300,45000
8A328A74-566C-90AD-45F4-D7A286052CE7,85016,17,2556,587,100500,401,69100
84C4F8E5-9A3C-71EE-7BB1-8EDFD0E94CE4,85017,28,1678,322,66600,256,94900
6AA49A41-5ACC-582D-0B37-1E7D73C7683A,85018,21,44,33,6400,27,25000
E50DF470-27D3-587C-5E42-E3A0C17E01F5,85019,17,1388,386,77500,320,44000
A534C4A3-9E84-4C92-6407-9C387CF7A51E,85020,17,97,24,2900,15,27500
7125FB86-06CF-0474-3834-3AC23BB2274F,85021,20,1491,360,113500,303,44400
32476EB0-30AB-89A7-3353-31EFC42A8EFE,85022,24,796,243,22700,139,59200
CB83D0E5-949C-4CC3-4441-F51156323718,85023,20,350,95,11900,58,50000
A9F3052E-6275-5F10-9CFF-8EE08747990B,85024,15,644,129,13700,52,71300
1BC6A335-0651-21E8-751C-984F25CEA369,85025,18,1706,397,342400,283,53500
FC5671EB-268C-482F-5CA7-065953204DA7,85026,34,591,139,32700,89,100000
02503A80-71A7-4238-87BA-A8C4B7F58484,85027,30,1602,322,113000,335,71100
951E1228-8D6E-2E10-3ACF-657DCC9A8504,85028,14,1276,270,86700,261,80900
B87781F3-A12C-4540-285E-252AA3D83942,85029,32,741,191,62300,169,68600
CFBD4914-42DE-0A34-852C-238BED1090BE,85030,23,1458,294,86600,275,74300
27851EBF-7A91-4BB6-197F-6C00650A6357,85031,38,1892,394,117500,374,65800
YMJO,85032,35,1263,262,95000,241,67500
0311F593-2B28-8A3E-46E6-C8490DD170C0,85033,16,1136,196,48100,185,DYUD
769984E5-9A9A-8E07-74D2-460ED6140AE1,85034,19,1087,171,64900,173,113800
B8ACA28E-4FF7-0935-284A-5E82043F1598,85035,19,583,113,53100,134,95800
6DD6EFF2-3847-51CD-685D-0289742F16BA,85036,29,1141,220,68400,194,107800
54929D39-83D7-7AB9-37D3-3DB2CE33020A,85037,33,1234,373,77700,298,40000
IUDL,85038,21,1260,246,80500,239,88500
433E7AC1-89A6-74F7-4C2C-09765C1A73F7,85039,15,3414,666,209700,622,91200
4FB768AE-0459-328B-A771-91E9A7AF38F4,85040,19,541,104,45700,106,102800
653A094A-7A80-9DE4-71B7-E37306D83970,85041,17,1960,389,169100,356,64000
F458F43A-6C08-4FB1-118E-D2DD759A5A41,85042,29,1523,440,130200,393,84700
216DB9B1-135E-05AB-0CB2-43658ADE2E29,85043,25,2322,573,218500,602,70100
A736F90E-3660-4707-3BB6-C2A5560C6184,85044,13,330,72,82200,64,142500
048060AE-6862-64AD-51F2-C50D6C388D10,85045,18,3631,913,356500,924,88400
1852F450-3C99-89AB-69A6-E092BF77971B,85046,35,2159,492,169400,475,75500
A5ACF1BC-00D5-0664-A10D-86D0D79259AB,85048,32,1995,523,106900,410,43300
02C37BFF-1002-A59F-2382-7C1F9B824C1E,85050,21,1024,218,89000,232,46700
C60DA979-1767-8AA4-556B-4793A2695F4A,85051,20,1402,287,110400,317,63700
5F3BFFFE-1484-14E1-6CAB-A0A606DE9BA9,85053,11,2872,610,264400,581,72700
28C892DA-51D1-75B6-155C-2B9212AEA3C7,85054,30,540,136,12200,63,42500
0D4C7D8C-8637-A0BD-3982-2E1B0AF49B76,85055,18,1109,283,100600,253,53400
45526860-48C7-5E93-82D0-686052900B55,85060,38,1327,262,78400,231,60800
DA7503C8-880C-1EE0-38C2-E3EBC44EA6B5,85061,32,1615,382,130700,345,58600
AEBF78E0-26F5-6802-25F2-225D9BC5845D,85062,24,1617,366,141600,401,66400
8D1D1D92-39C4-3E2E-8DD9-DABB6BEA33CE,85063,10,1879,387,137600,337,67500
7B30F22D-4489-0C18-548E-8DBCBA4465C8,85064,18,1715,337,116600,333,79200
B50DE734-9858-0ABC-776A-7A0E5B471078,85065,17,1190,275,111300,258,63100
579BFD5B-662D-9A6E-0937-C27BE843512A,85066,6,2804,581,280700,594,67700
EA6B66CC-A27A-678D-6ADA-88F09807A55E,85067,12,807,199,24600,102,40000
52C59D7E-9706-174E-9B54-9B87787A071C,85068,25,2578,634,208200,565,62200
F91DB9A6-2A21-1507-1EFA-CD5F16D63C41,85069,35,1583,340,93300,318,70700
FB85A83F-6853-12DD-2B64-ECEB7FA42373,85070,34,2231,545,156800,510,60300
3C8AB16D-4FA1-315F-9EA0-AABAF0A73ABA,85071,14,1527,325,145300,332,61200
9EF6068E-66A8-5FCB-95E0-1392A23B1D63,85072,23,1459,373,114800,388,69400
418965AE-87A5-5B51-70FE-60B78AA69FED,85073,17,1697,268,91100,254,96000
20D4337F-6163-98D3-7665-C571EDD113DA,85074,27,1513,395,112100,381,60600
B2B5F627-047A-7F64-5495-D5E6EEAD8EEC,85075,41,2429,454,118800,430,70800
E0844E5B-6B15-0511-06E7-92B01965050C,85076,23,1712,403,137000,377,60400
33025927-4016-7C56-7AB5-90B2F5E42342,85077,33,2266,365,95200,360,143000
ED0E22AB-36D6-92F1-A580-CBC7CD469AF7,85078,24,2565,530,144700,473,80800
60356EB4-39A3-945A-53AB-119B36492AF9,85079,34,1540,316,101300,274,67500
D7AD2B89-94D6-0E7E-89FC-77F3CBAF60FB,85080,23,666,142,58000,160,61000
EFED7D67-6625-1A85-9346-C8DA2FCB826E,85082,23,1004,221,69700,201,59600
7F2D2C4A-7AFF-1E64-A59C-FBD5EFC8903D,85085,22,565,162,69200,141,53600
19998F29-11A8-392F-46F9-E8EB7BD1946C,85086,5,2652,606,176700,536,84300
8E2D5412-A323-6F58-2CAA-447451EE516B,85087,21,2164,480,116400,421,107200
1E898CE7-210D-0F7C-0F84-05B56F2C6B61,85098,28,1672,416,133500,397,59400
C363493C-8B1C-8897-31A0-A9CC7FBC8C7E,85099,25,1311,375,119300,351,63900
1F57BBDD-7226-7BB0-A21F-D7D0BF8418FB,85201,15,1171,328,102400,298,69400
E9B83224-7BF4-5853-6F1C-0C18CD2B1F4A,85202,20,2372,835,228300,767,62500
98B78A0E-2363-7788-82C6-719237E080F8,85203,18,1178,438,137700,429,58300
EC886802-1818-1CBE-138A-C9A2C06391F6,85204,46,2511,490,158300,469,70800
558FF4BE-6E1C-4076-44CB-724A610F2C28,85205,35,1185,202,61500,191,86200
0125CAAF-0C85-820F-2A15-3AD253F43A9C,85206,29,1568,283,84800,245,ECYG
FA8C6A86-652A-8407-8017-29E7682D9DBC,85207,15,1278,217,65300,185,140300
0BA4CDB6-29CA-13EC-1E81-065418C51F4F,85208,33,1365,269,82500,250,62300
16D4EB5E-3D9D-34DB-00A8-A83222779BE9,85209,17,1039,256,72800,246,63500
4E6A45FA-4C00-4656-0000-B42A228F3474,85210,29,1207,301,80400,288,61100
A587AAB8-1D2C-64A3-9317-C7E7DFE6477F,85211,31,1494,289,95900,284,67500
CB3A3480-0734-76BF-6F0D-95D696C9726C,85212,16,2276,594,118400,513,93800
4186C497-94C0-A1A2-384E-AE1710FC776D,85213,34,1152,208,62100,208,73600
20813D1A-8832-7D94-4720-2FA540D705BB,85214,20,1534,235,87100,222,97200
55EBCA62-075E-2619-0AA2-A56355BA1960,85215,15,1413,279,80300,277,87500
E7AC6E38-29E4-9DDA-0C4E-BE1197E7599A,85216,21,1161,282,72400,186,71700
9F776F83-255C-8B09-119B-064389FC990A,85217,5,805,143,45800,143,96300
581D1698-95A2-1A96-A5CF-288139BE8313,85218,TSHC,1088,203,53300,201,87500
6F802DDE-5083-9AB3-03B6-4EAB4B7A64E4,85219,14,1687,507,76200,451,64400
71365DA5-2BC9-9E3C-05A9-62AEBB832988,85220,5,2494,414,141600,421,110100
4183EDA7-24B0-0971-026B-FC8830AD0E99,85221,20,1608,274,86200,248,90800